Fecha,Latitud,Longitud,SST,Mes,A̱o
2020-01-01,22.625,-107.125,24.67387,1,2020
2020-02-01,22.625,-107.125,23.53345,2,2020
2020-03-01,22.625,-107.125,23.43742,3,2020
2020-04-01,22.625,-107.125,23.773,4,2020
2020-05-01,22.625,-107.125,24.17097,5,2020
2020-06-01,22.625,-107.125,25.56767,6,2020
2020-07-01,22.625,-107.125,28.81,7,2020
2020-08-01,22.625,-107.125,29.16774,8,2020
2020-09-01,22.625,-107.125,29.17433,9,2020
2020-10-01,22.625,-107.125,30.3929,10,2020
2020-11-01,22.625,-107.125,28.21033,11,2020
2020-12-01,22.625,-107.125,24.35,12,2020
2021-01-01,22.625,-107.125,22.07613,1,2021
2021-02-01,22.625,-107.125,21.89286,2,2021
2021-03-01,22.625,-107.125,21.99323,3,2021
2021-04-01,22.625,-107.125,23.601,4,2021
2021-05-01,22.625,-107.125,26.18613,5,2021
2021-06-01,22.625,-107.125,27.87333,6,2021
2021-07-01,22.625,-107.125,28.78387,7,2021
2021-08-01,22.625,-107.125,29.75064,8,2021
2021-09-01,22.625,-107.125,28.99167,9,2021
2021-10-01,22.625,-107.125,29.87968,10,2021
2021-11-01,22.625,-107.125,28.31933,11,2021
2021-12-01,22.625,-107.125,25.98516,12,2021
2022-01-01,22.625,-107.125,23.90806,1,2022
2022-02-01,22.625,-107.125,22.50286,2,2022
2022-03-01,22.625,-107.125,22.94968,3,2022
2022-04-01,22.625,-107.125,22.79367,4,2022
2022-05-01,22.625,-107.125,24.32645,5,2022
2022-06-01,22.625,-107.125,24.90133,6,2022
2022-07-01,22.625,-107.125,29.08323,7,2022
2022-08-01,22.625,-107.125,30.33581,8,2022
2022-09-01,22.625,-107.125,30.017,9,2022
2022-10-01,22.625,-107.125,29.7329,10,2022
2022-11-01,22.625,-107.125,27.656,11,2022
2022-12-01,22.625,-107.125,25.15903,12,2022
